mov_basename,date_time,start_frame,end_frame,scene_tag
CAMHDA301-20151120T000000Z,2015-11-20T00:00:00,621,1071,d2_p1_z0
CAMHDA301-20151120T000000Z,2015-11-20T00:00:00,1241,1371,d2_p1_z1
CAMHDA301-20151120T000000Z,2015-11-20T00:00:00,1721,2201,d2_p0_z0
CAMHDA301-20151120T000000Z,2015-11-20T00:00:00,2521,2601,d2_p2_z0
CAMHDA301-20151120T000000Z,2015-11-20T00:00:00,2671,2781,d2_p2_z0
CAMHDA301-20151120T000000Z,2015-11-20T00:00:00,2951,3841,d2_p2_z1
CAMHDA301-20151120T000000Z,2015-11-20T00:00:00,4001,4211,d2_p2_z0
CAMHDA301-20151120T000000Z,2015-11-20T00:00:00,4291,4361,d2_p2_z0
CAMHDA301-20151120T000000Z,2015-11-20T00:00:00,4671,4941,d2_p0_z0
CAMHDA301-20151120T000000Z,2015-11-20T00:00:00,5191,5521,d2_p3_z0
CAMHDA301-20151120T000000Z,2015-11-20T00:00:00,5681,5821,d2_p3_z1
CAMHDA301-20151120T000000Z,2015-11-20T00:00:00,5971,6871,d2_p3_z2
CAMHDA301-20151120T000000Z,2015-11-20T00:00:00,7181,7231,d2_p3_z0
CAMHDA301-20151120T000000Z,2015-11-20T00:00:00,7511,7791,d2_p0_z0
CAMHDA301-20151120T000000Z,2015-11-20T00:00:00,8061,8321,d2_p4_z0
CAMHDA301-20151120T000000Z,2015-11-20T00:00:00,8491,8631,d2_p4_z1
CAMHDA301-20151120T000000Z,2015-11-20T00:00:00,8781,9681,d2_p4_z2
CAMHDA301-20151120T000000Z,2015-11-20T00:00:00,9981,10041,d2_p4_z0
CAMHDA301-20151120T000000Z,2015-11-20T00:00:00,10301,10631,d2_p0_z0
CAMHDA301-20151120T000000Z,2015-11-20T00:00:00,10821,11131,d2_p5_z0
CAMHDA301-20151120T000000Z,2015-11-20T00:00:00,11301,11431,d2_p5_z1
CAMHDA301-20151120T000000Z,2015-11-20T00:00:00,11581,12481,d2_p5_z2
CAMHDA301-20151120T000000Z,2015-11-20T00:00:00,12781,12851,d2_p5_z0
CAMHDA301-20151120T000000Z,2015-11-20T00:00:00,13041,13321,d2_p0_z0
CAMHDA301-20151120T000000Z,2015-11-20T00:00:00,13451,13821,d2_p6_z0
CAMHDA301-20151120T000000Z,2015-11-20T00:00:00,13991,14121,d2_p6_z1
CAMHDA301-20151120T000000Z,2015-11-20T00:00:00,14271,15181,d2_p6_z2
CAMHDA301-20151120T000000Z,2015-11-20T00:00:00,15481,15541,d2_p6_z0
CAMHDA301-20151120T000000Z,2015-11-20T00:00:00,15671,16211,d2_p0_z0
CAMHDA301-20151120T000000Z,2015-11-20T00:00:00,16381,16511,d2_p0_z1
CAMHDA301-20151120T000000Z,2015-11-20T00:00:00,16661,17561,d2_p0_z2
CAMHDA301-20151120T000000Z,2015-11-20T00:00:00,17861,18251,d2_p0_z0
CAMHDA301-20151120T000000Z,2015-11-20T00:00:00,18611,19091,d2_p7_z0
CAMHDA301-20151120T000000Z,2015-11-20T00:00:00,19301,20181,d2_p7_z1
CAMHDA301-20151120T000000Z,2015-11-20T00:00:00,20391,20551,d2_p7_z0
CAMHDA301-20151120T000000Z,2015-11-20T00:00:00,20891,21211,d2_p0_z0
CAMHDA301-20151120T000000Z,2015-11-20T00:00:00,21411,21711,d2_p8_z0
CAMHDA301-20151120T000000Z,2015-11-20T00:00:00,21841,22721,d2_p8_z1
CAMHDA301-20151120T000000Z,2015-11-20T00:00:00,22851,23241,d2_p8_z0
CAMHDA301-20151120T000000Z,2015-11-20T00:00:00,23431,23791,d2_p0_z0
CAMHDA301-20151120T000000Z,2015-11-20T00:00:00,23981,24321,d2_p1_z0
CAMHDA301-20151121T000000Z,2015-11-21T00:00:00,601,1071,d2_p1_z0
CAMHDA301-20151121T000000Z,2015-11-21T00:00:00,1241,1371,d2_p1_z1
CAMHDA301-20151121T000000Z,2015-11-21T00:00:00,1721,2201,d2_p0_z0
CAMHDA301-20151121T000000Z,2015-11-21T00:00:00,2671,2781,d2_p2_z0
CAMHDA301-20151121T000000Z,2015-11-21T00:00:00,2951,3831,d2_p2_z1
CAMHDA301-20151121T000000Z,2015-11-21T00:00:00,4001,4211,d2_p2_z0
CAMHDA301-20151121T000000Z,2015-11-21T00:00:00,4291,4361,d2_p2_z0
CAMHDA301-20151121T000000Z,2015-11-21T00:00:00,4631,4901,d2_p0_z0
CAMHDA301-20151121T000000Z,2015-11-21T00:00:00,5161,5441,d2_p3_z0
CAMHDA301-20151121T000000Z,2015-11-21T00:00:00,5611,5741,d2_p3_z1
CAMHDA301-20151121T000000Z,2015-11-21T00:00:00,5891,6791,d2_p3_z2
CAMHDA301-20151121T000000Z,2015-11-21T00:00:00,7101,7161,d2_p3_z0
CAMHDA301-20151121T000000Z,2015-11-21T00:00:00,7401,7671,d2_p0_z0
CAMHDA301-20151121T000000Z,2015-11-21T00:00:00,7931,8251,d2_p4_z0
CAMHDA301-20151121T000000Z,2015-11-21T00:00:00,8411,8551,d2_p4_z1
CAMHDA301-20151121T000000Z,2015-11-21T00:00:00,8701,9601,d2_p4_z2
CAMHDA301-20151121T000000Z,2015-11-21T00:00:00,9901,9961,d2_p4_z0
CAMHDA301-20151121T000000Z,2015-11-21T00:00:00,10231,10511,d2_p0_z0
CAMHDA301-20151121T000000Z,2015-11-21T00:00:00,10711,11011,d2_p5_z0
CAMHDA301-20151121T000000Z,2015-11-21T00:00:00,11181,11321,d2_p5_z1
CAMHDA301-20151121T000000Z,2015-11-21T00:00:00,11471,12371,d2_p5_z2
CAMHDA301-20151121T000000Z,2015-11-21T00:00:00,12671,12731,d2_p5_z0
CAMHDA301-20151121T000000Z,2015-11-21T00:00:00,12931,13241,d2_p0_z0
CAMHDA301-20151121T000000Z,2015-11-21T00:00:00,13371,13741,d2_p6_z0
CAMHDA301-20151121T000000Z,2015-11-21T00:00:00,13911,14051,d2_p6_z1
CAMHDA301-20151121T000000Z,2015-11-21T00:00:00,14201,15101,d2_p6_z2
CAMHDA301-20151121T000000Z,2015-11-21T00:00:00,15401,15461,d2_p6_z0
CAMHDA301-20151121T000000Z,2015-11-21T00:00:00,15591,16131,d2_p0_z0
CAMHDA301-20151121T000000Z,2015-11-21T00:00:00,16301,16431,d2_p0_z1
CAMHDA301-20151121T000000Z,2015-11-21T00:00:00,16591,17481,d2_p0_z2
CAMHDA301-20151121T000000Z,2015-11-21T00:00:00,17791,18211,d2_p0_z0
CAMHDA301-20151121T000000Z,2015-11-21T00:00:00,18571,19051,d2_p7_z0
CAMHDA301-20151121T000000Z,2015-11-21T00:00:00,19261,20141,d2_p7_z1
CAMHDA301-20151121T000000Z,2015-11-21T00:00:00,20351,20511,d2_p7_z0
CAMHDA301-20151121T000000Z,2015-11-21T00:00:00,20851,21171,d2_p0_z0
CAMHDA301-20151121T000000Z,2015-11-21T00:00:00,21351,21671,d2_p8_z0
CAMHDA301-20151121T000000Z,2015-11-21T00:00:00,21801,22691,d2_p8_z1
CAMHDA301-20151121T000000Z,2015-11-21T00:00:00,22821,23201,d2_p8_z0
CAMHDA301-20151121T000000Z,2015-11-21T00:00:00,23441,23761,d2_p0_z0
CAMHDA301-20151121T000000Z,2015-11-21T00:00:00,23941,24241,d2_p1_z0
CAMHDA301-20151121T150000Z,2015-11-21T15:00:00,581,1051,d2_p1_z0
CAMHDA301-20151121T150000Z,2015-11-21T15:00:00,1221,1351,d2_p1_z1
CAMHDA301-20151121T150000Z,2015-11-21T15:00:00,1711,2151,d2_p0_z0
CAMHDA301-20151121T150000Z,2015-11-21T15:00:00,2491,2611,d2_p2_z0
CAMHDA301-20151121T150000Z,2015-11-21T15:00:00,2661,2771,d2_p2_z0
CAMHDA301-20151121T150000Z,2015-11-21T15:00:00,2941,3821,d2_p2_z1
CAMHDA301-20151121T150000Z,2015-11-21T15:00:00,3991,4201,d2_p2_z0
CAMHDA301-20151121T150000Z,2015-11-21T15:00:00,4301,4341,d2_p2_z0
CAMHDA301-20151121T150000Z,2015-11-21T15:00:00,4661,4931,d2_p0_z0
CAMHDA301-20151121T150000Z,2015-11-21T15:00:00,5171,5501,d2_p3_z0
CAMHDA301-20151121T150000Z,2015-11-21T15:00:00,5671,5801,d2_p3_z1
CAMHDA301-20151121T150000Z,2015-11-21T15:00:00,5951,6851,d2_p3_z2
CAMHDA301-20151121T150000Z,2015-11-21T15:00:00,7161,7221,d2_p3_z0
CAMHDA301-20151121T150000Z,2015-11-21T15:00:00,7471,7731,d2_p0_z0
CAMHDA301-20151121T150000Z,2015-11-21T15:00:00,8001,8311,d2_p4_z0
CAMHDA301-20151121T150000Z,2015-11-21T15:00:00,8481,8611,d2_p4_z1
CAMHDA301-20151121T150000Z,2015-11-21T15:00:00,8761,9661,d2_p4_z2
CAMHDA301-20151121T150000Z,2015-11-21T15:00:00,9961,10031,d2_p4_z0
CAMHDA301-20151121T150000Z,2015-11-21T15:00:00,10291,10611,d2_p0_z0
CAMHDA301-20151121T150000Z,2015-11-21T15:00:00,10811,11111,d2_p5_z0
CAMHDA301-20151121T150000Z,2015-11-21T15:00:00,11281,11421,d2_p5_z1
CAMHDA301-20151121T150000Z,2015-11-21T15:00:00,11571,12471,d2_p5_z2
CAMHDA301-20151121T150000Z,2015-11-21T15:00:00,12771,12831,d2_p5_z0
CAMHDA301-20151121T150000Z,2015-11-21T15:00:00,13031,13341,d2_p0_z0
CAMHDA301-20151121T150000Z,2015-11-21T15:00:00,13481,13851,d2_p6_z0
CAMHDA301-20151121T150000Z,2015-11-21T15:00:00,14011,14151,d2_p6_z1
CAMHDA301-20151121T150000Z,2015-11-21T15:00:00,14301,15201,d2_p6_z2
CAMHDA301-20151121T150000Z,2015-11-21T15:00:00,15501,15561,d2_p6_z0
CAMHDA301-20151121T150000Z,2015-11-21T15:00:00,15691,16161,d2_p0_z0
CAMHDA301-20151121T150000Z,2015-11-21T15:00:00,16321,16461,d2_p0_z1
CAMHDA301-20151121T150000Z,2015-11-21T15:00:00,16611,17511,d2_p0_z2
CAMHDA301-20151121T150000Z,2015-11-21T15:00:00,17811,18241,d2_p0_z0
CAMHDA301-20151121T150000Z,2015-11-21T15:00:00,18601,19121,d2_p7_z0
CAMHDA301-20151121T150000Z,2015-11-21T15:00:00,19321,20201,d2_p7_z1
CAMHDA301-20151121T150000Z,2015-11-21T15:00:00,20411,20571,d2_p7_z0
CAMHDA301-20151121T150000Z,2015-11-21T15:00:00,20921,21231,d2_p0_z0
CAMHDA301-20151121T150000Z,2015-11-21T15:00:00,21421,21771,d2_p8_z0
CAMHDA301-20151121T150000Z,2015-11-21T15:00:00,21901,22791,d2_p8_z1
CAMHDA301-20151121T150000Z,2015-11-21T15:00:00,22921,23301,d2_p8_z0
CAMHDA301-20151121T150000Z,2015-11-21T15:00:00,23491,23861,d2_p0_z0
CAMHDA301-20151121T150000Z,2015-11-21T15:00:00,24041,24341,d2_p1_z0
CAMHDA301-20151121T180000Z,2015-11-21T18:00:00,591,1061,d2_p1_z0
CAMHDA301-20151121T180000Z,2015-11-21T18:00:00,1231,1361,d2_p1_z1
CAMHDA301-20151121T180000Z,2015-11-21T18:00:00,1721,2201,d2_p0_z0
CAMHDA301-20151121T180000Z,2015-11-21T18:00:00,2521,2621,d2_p2_z0
CAMHDA301-20151121T180000Z,2015-11-21T18:00:00,2671,2781,d2_p2_z0
CAMHDA301-20151121T180000Z,2015-11-21T18:00:00,2941,3831,d2_p2_z1
CAMHDA301-20151121T180000Z,2015-11-21T18:00:00,4001,4211,d2_p2_z0
CAMHDA301-20151121T180000Z,2015-11-21T18:00:00,4271,4351,d2_p2_z0
CAMHDA301-20151121T180000Z,2015-11-21T18:00:00,4661,4971,d2_p0_z0
CAMHDA301-20151121T180000Z,2015-11-21T18:00:00,5221,5551,d2_p3_z0
CAMHDA301-20151121T180000Z,2015-11-21T18:00:00,5721,5851,d2_p3_z1
CAMHDA301-20151121T180000Z,2015-11-21T18:00:00,6001,6901,d2_p3_z2
