mov_basename,date_time,num_frames,duration,file_size
CAMHDA301-20150709T121400Z,2015-07-09T12:14:00,0,2.4691334,414890593
CAMHDA301-20150709T134200Z,2015-07-09T13:42:00,229243,7649.0747,227959024985
CAMHDA301-20150709T155000Z,2015-07-09T15:50:00,62022,2069.4675,61678230277
CAMHDA301-20150709T222700Z,2015-07-09T22:27:00,7249,241.87497,7208798169
CAMHDA301-20150710T183300Z,2015-07-10T18:33:00,27400,914.24664,27248062177
CAMHDA301-20150710T231600Z,2015-07-10T23:16:00,26398,880.8133,26251846609
CAMHDA301-20150710T233700Z,2015-07-10T23:37:00,311,10.377033,309359777
CAMHDA301-20150711T001100Z,2015-07-11T00:11:00,37121,1238.604,36915056385
CAMHDA301-20150711T003200Z,2015-07-11T00:32:00,58,1.9352666,57687129
CAMHDA301-20150711T010000Z,2015-07-11T01:00:00,49356,1646.8452,49081542081
CAMHDA301-20150712T221400Z,2015-07-12T22:14:00,87636,2924.121,87144491953
CAMHDA301-20150713T173800Z,2015-07-13T17:38:00,29199,974.2733,29036675265
CAMHDA301-20150713T181200Z,2015-07-13T18:12:00,19526,651.5175,19417637033
CAMHDA301-20150713T190500Z,2015-07-13T19:05:00,1844,61.528133,1833860665
CAMHDA301-20150714T232702Z,2015-07-14T23:27:02,5309,177.14363,5279420889
CAMHDA301-20150714T233705Z,2015-07-14T23:37:05,20963,699.46545,20805408809
CAMHDA301-20150715T213637Z,2015-07-15T21:36:37,203750,6798.458,133877544641
CAMHDA301-20150715T232900Z,2015-07-15T23:29:00,69,2.3023,68701281
CAMHDA301-20150716T000015Z,2015-07-16T00:00:15,21191,707.07306,21032394345
CAMHDA301-20150716T010015Z,2015-07-16T01:00:15,229243,7649.0747,227928255321
CAMHDA301-20150716T010015Z_01,2015-07-16T01:00:15,70582,2355.0862,70190726645
CAMHDA301-20150716T010015Z_02,2015-07-16T01:00:15,229244,7649.1084,227954298725
CAMHDA301-20150716T010015Z_03,2015-07-16T01:00:15,229243,7649.0747,227960085861
CAMHDA301-20150716T010015Z_04,2015-07-16T01:00:15,23397,780.6799,23267282117
CAMHDA301-20150723T162100Z,2015-07-23T16:21:00,9609,320.6203,9555720785
CAMHDA301-20150723T225716Z,2015-07-23T22:57:16,982,32.766068,937153873
CAMHDA301-20150723T231015Z,2015-07-23T23:10:15,829,27.660967,81889577
